"spell_duration","cens","case.ID","race","sex","highest_educ","age_at_start"
47,0,3339,3,2,0,1993
3,1,3340,3,1,0,1991
2,1,3340,3,1,0,1991
5,1,3340,3,1,0,1992
1,1,3340,3,1,0,1993
2,1,3340,3,1,0,1993
1,1,3341,3,2,1,1993
73,1,3342,3,2,1,1990
1,1,3343,3,2,0,1990
16,0,3344,3,1,0,1989
3,1,3346,3,1,0,1990
13,1,3346,3,1,0,1993
3,1,3347,3,2,0,1992
10,1,3348,3,2,0,1993
28,0,3348,3,2,0,1993
2,1,3349,3,2,0,1990
36,1,3349,3,2,0,1990
8,1,3349,3,2,0,1992
3,1,3350,3,2,1,1991
4,1,3350,3,2,1,1992
56,1,3350,3,2,1,1992
1,1,3352,3,2,1,1990
1,1,3352,3,2,1,1991
1,1,3352,3,2,1,1991
2,1,3354,3,1,1,1990
2,1,3354,3,1,1,1990
6,1,3354,3,1,1,1990
143,0,3354,3,1,1,1991
2,1,3355,3,2,1,1990
17,1,3356,3,1,1,1989
130,1,3356,3,1,1,1990
26,1,3356,3,1,1,1992
21,0,3356,3,1,1,1993
30,1,3359,3,1,1,1989
3,1,3359,3,1,1,1990
21,1,3359,3,1,1,1990
1,1,3359,3,1,1,1991
2,1,3359,3,1,1,1992
2,1,3360,3,2,1,1989
6,1,3360,3,2,1,1989
23,1,3360,3,2,1,1991
1,1,3361,3,1,1,1990
4,1,3361,3,1,1,1991
1,1,3362,3,2,0,1989
1,1,3362,3,2,0,1990
69,0,3362,3,2,0,1992
2,1,3364,3,2,1,1991
18,1,3364,3,2,1,1992
2,1,3364,3,2,1,1993
40,1,3365,3,2,1,1989
165,0,3365,3,2,1,1990
17,1,3366,3,1,1,1992
159,0,3369,3,2,1,1990
52,1,3371,2,2,0,1989
33,0,3371,2,2,0,1993
28,1,3372,3,1,1,1992
9,1,3372,3,1,1,1993
2,1,3374,3,1,0,1989
2,1,3374,3,1,0,1989
30,1,3374,3,1,0,1991
50,1,3375,3,1,1,1990
13,1,3375,3,1,1,1991
26,1,3375,3,1,1,1993
19,1,3377,3,2,1,1992
5,1,3378,3,2,1,1992
1,1,3378,3,2,1,1992
1,1,3378,3,2,1,1992
17,1,3378,3,2,1,1992
1,1,3378,3,2,1,1993
1,1,3378,3,2,1,1993
18,1,3378,3,2,1,1993
10,1,3385,3,1,0,1991
3,1,3386,3,2,1,1989
12,1,3386,3,2,1,1989
5,1,3386,3,2,1,1990
11,1,3386,3,2,1,1991
90,0,3386,3,2,1,1992
1,1,3388,2,1,1,1991
18,0,3388,2,1,1,1993
4,1,3390,2,1,1,1990
20,1,3390,2,1,1,1991
3,1,3391,2,1,1,1989
5,1,3391,2,1,1,1991
1,1,3391,2,1,1,1991
6,1,3391,2,1,1,1991
2,1,3391,2,1,1,1991
12,1,3391,2,1,1,1992
44,1,3392,2,1,1,1989
65,1,3392,2,1,1,1991
1,1,3393,2,2,1,1989
8,1,3395,3,1,1,1990
3,1,3396,3,1,0,1989
11,1,3400,3,1,0,1990
56,1,3407,3,2,1,1989
4,1,3407,3,2,1,1991
13,1,3407,3,2,1,1991
20,1,3410,3,1,1,1991
204,0,3411,3,2,1,1990
6,1,3412,3,2,0,1989
104,1,3412,3,2,0,1989
2,1,3413,3,2,0,1989
19,1,3413,3,2,0,1990
79,1,3413,3,2,0,1992
1,1,3414,3,1,1,1989
2,1,3416,3,2,0,1989
19,1,3417,3,1,0,1989
5,1,3417,3,1,0,1990
1,1,3417,3,1,0,1990
2,1,3417,3,1,0,1991
13,1,3417,3,1,0,1991
7,1,3417,3,1,0,1993
12,0,3417,3,1,0,1993
32,1,3418,3,2,0,1991
30,1,3419,3,2,1,1992
2,1,3419,3,2,1,1993
2,1,3420,3,1,1,1991
1,1,3421,3,2,0,1990
2,1,3423,3,2,1,1990
157,1,3423,3,2,1,1990
11,1,3424,3,2,1,1989
5,1,3424,3,2,1,1989
2,1,3424,3,2,1,1990
170,0,3426,3,2,1,1990
2,1,3430,3,2,1,1991
6,1,3430,3,2,1,1991
2,1,3430,3,2,1,1992
93,0,3430,3,2,1,1992
4,1,3434,1,2,1,1990
23,1,3434,1,2,1,1991
211,0,3435,1,2,0,1989
63,1,3437,1,1,0,1989
6,1,3438,1,2,0,1992
